key,url,username,title,description,favicon,tag1,tag2,tag3,tag4,tag5
-1,https://www.youtube.com/watch?v=s8buAFObSpI&feature=youtu.be,NumberShapes,Children's Technology Review of NumberShapes Whiteboard,The Children's Technology Review is a big fan of the NumberShapes Whiteboard:,Video,EdTech,review,traction,NULL,NULL
-2,http://reviews.childrenstech.com/ctr/review.php?id=19156,NumberShapes,Children's Technology Award for NumberShapes,We just received the Editors choice award from The Children's Technology Review for NumberShapes Whiteboard learning app!,Website,EdTech,award,traction,NULL,NULL
-3,http://pdfsr.com/pdf/introduction-to-numeracy-vol.-1,NumberShapes,We've self-published an Activity Booklet to help parents get started teaching with our apps. Download for free here.,,Assignment,EdTech,content,giveaway,NULL,NULL
-4,https://www.youtube.com/watch?v=xSi0lfl-31U,MyWhyU,Dawn of numbers,Great series on math from MyWhyU,Video,learning,math,NULL,NULL,NULL
-5,https://www.youtube.com/watch?v=60OVlfAUPJg&feature=iv&src_vid=B4xOFsygwr4&annotation_id=annotation_1313987157,TED,Teaching Kids Real Math Wth Computers,An old video but the message is more true than ever now,Video,learning,math,NULL,NULL,NULL
-6,https://parcc.pearson.com/resources/Practice-Tests/MRS/HS/PC942260_HSMthRefSht.pdf,NumberShapes,Parcc Equation Sheet,Equation sheet for High School Parcc test.,Assignment,NULL,NULL,NULL,NULL,NULL
-7,https://twitter.com/AlgebraIDEA,NumberShapes,AlgebraIDEA Twitter,,,Learning,Algebra,Exponents,Education,
