"key","url","username","title","description","favicon","tag1","tag2","tag3","tag4","tag5"
"-124","https://medium.com/@david.gilbertson/how-to-reduce-incorrect-email-addresses-df3b70cb15a9#.x0diz8y56","Xiaoyun Yang","Sending User Activation Email","Including Code in Javascript","Reading","frontend","tutorial","NULL","NULL","NULL"
"-125","https://medium.com/startup-grind/seo-is-not-hard-a-step-by-step-seo-tutorial-for-beginners-that-will-get-you-ranked-every-single-1b903b3ab6bb#.a58dzn6tv","LooseLeaf","SEO step by step","","Reading","Marketing","SEO","NULL","NULL","NULL"
"-126","https://code.tutsplus.com/tutorials/developing-google-chrome-extensions--net-33076","Xiaoyun Yang","Chrome Plugin Tutorial","This is a good begineer's guide to building a Chrome Plugin/Extension","Reading","Engineering","frontend","NULL","NULL","NULL"
"-127","https://chatbotsmagazine.com/the-ai-machine-learning-glossary-for-marketers-dbf5f2658c84#.ipb2bravd","LooseLeaf","Machine Learning Glossary for Marketers","Well written intro to things like AI, machine learning, deep learning, supervised vs. unsupervised learning. In layman's terms.","Reading","Engineering","Marketing","NULL","NULL","NULL"
"-128","https://medium.com/@WebdesignerDepot/whats-new-for-designers-september-2016-610efdddd9fe#.1jqlxuk99","LooseLeaf","Online Resources for entrepreneurs","collection of things for web designers","Reading","Design","resources","template","NULL","NULL"
"-129","https://medium.com/behavior-design/die-dashboards-die-why-conversations-will-reinvent-software-a632880d5465#.1hyiv4rtq","LooseLeaf","Conversational User Interface - Die Dashboard Die","The goal of a conversational user interface (CUI) is to identify for the user what the next action is and faciilitate the process for them to act on the next action. This saves the user a ton of time hunting and second-guessing what to do next. We can give them a recommendation to do something next. The user can accept or reject the recommendation.","Reading","Engineering","Design","idea","NULL","NULL"
"-130","https://medium.muz.li/50-user-profile-page-design-inspiration-5c45aeeda400#.vxgn0imjp","LooseLeaf","User Interface Design Ideas","inspirations, templates, examples","Reading","Design","idea","template","NULL","NULL"
"-131","https://medium.com/conquering-corporate-america/from-medium-to-book-deal-in-12-months-656fb2738d51#.8gvwyki93","LooseLeaf","Ex Googler explains how she went from a Medium article to three book deals","ProTip: don't quit your job too early because it's hard to be creative with the mounting pressure of generatign income","Reading","Marketing","business","Blogging","NULL","NULL"
"-132","https://medium.freecodecamp.com/how-to-add-code-to-medium-and-get-syntax-highlighting-d699761a5883?source=bookmarks---------9-&gi=b1eaab579c7","LooseLeaf","Medium Tips: How to add code blocks","","Reading","Marketing","Blogging","traction","NULL","NULL"
"-133","https://uxplanet.org/soft-landing-10-design-concepts-of-landing-pages-bc4ea24f1518#.49jpdhxos","LooseLeaf","10 Design concepts for landing pages","","Reading","Design","idea","NULL","NULL","NULL"
"-134","https://github.com/facebook/react/wiki/Complementary-Tools","LooseLeaf","Complementary Tools for ReactJS","","Reading","Engineering","resources","tools","NULL","NULL"
"-135","https://attach.io/startup-pitch-decks/?ref=producthunt","Xiaoyun Yang","Startup Pitch Deck","A collection of real fundraising decks from real startups.","Website","Fundraising","resources","NULL","NULL","NULL"
"-136","https://tech.affirm.com/redux-patterns-and-anti-patterns-7d80ef3d53bc#.fg2cdnct2","LooseLeaf","ImmutableJS, redux patterns and anti-patterns","ImmutableJS gives you persistent datastructures that you need to write functional code in javascript.","Reading","Engineering","frontend","learning","NULL","NULL"
"-137","https://medium.com/@petrovg/a-few-things-i-wish-were-more-obvious-about-scalas-options-3c41c53cb58#.8v9vwn7q8","Xiaoyun Yang","Scala's Options - Some practical application","","Code","Engineering","Scala","learning","NULL","NULL"
"-138","https://hackernoon.com/from-callback-to-future-functor-monad-6c86d9c16cb5#.5s9jn9ld1","Xiaoyun Yang","From Callback to Future -> Functor -> Monad","How to implement a state machine to handle Future","Code","Engineering","frontend","learning","NULL","NULL"
"-139","https://productive.speedlancer.com/an-outsourcing-framework-systemising-and-hiring-with-success-pt-2-3-982bd6a769a5#.5n6wffhvn","LooseLeaf","Managing work: Outsource and delegate","Good tips for how to offload work and delegate to employees. Document everything and codify all processes","Reading","business","plan","NULL","NULL","NULL"
"-140","https://medium.com/@matanm/youtube-redesign-c27376294e06#.34fcmf4w6","LooseLeaf","UX Ideas - YouTube Design","Side bar and main page","Reading","UX","idea","NULL","NULL","NULL"
"-141","https://blog.prototypr.io/3-tips-for-better-dashboard-designs-26e028dfaca0#.ni7ryhggy","LooseLeaf","Dashboard Design principles","Visualizations should serve a specific purpose and convey specific high level information in a more effective way than the basic raw data format. The purpose of visualization is insight, not pictures.","Reading","UX","Design","NULL","NULL","NULL"
"-142","https://medium.com/@founding/dont-pitch-your-startup-until-you-ve-read-this-e032a5f2e809#.5j1lo796a","LooseLeaf","Startup Pitch - Advice, guide, must know","Includes a template/formula","Reading","Fundraising","tutorial","NULL","NULL","NULL"
"-143","https://m.signalvnoise.com/how-we-set-up-our-work-cbce3d3d9cae#.sfb95vqnd","LooseLeaf","How a startup structures its team - idea for LooseLeaf Team","Big batch vs small batch projects, six week cycle. Three member teams. Team member to member pitch.","Reading","business","idea","NULL","NULL","NULL"
"-144","https://medium.com/the-mission/going-public-vs-being-acquired-8a05e2370c3f#.sh8bxjkiv","LooseLeaf","Going public vs being acquired","","Reading","business","NULL","NULL","NULL","NULL"
"-145","https://medium.com/trafficandcopy/how-to-raise-investment-money-in-2017-without-losing-your-mind-a8c9832ff9df#.c6jlc6cvk","LooseLeaf","How to raise investment money in 2017","Good practical advice for approaching investors","Reading","business","fundraising","NULL","NULL","NULL"
