"key","url","username","title","description","favicon","tag1","tag2","tag3","tag4","tag5"
"-26","https://facebook.github.io/react/docs/events.html#form-events","Xiaoyun Yang","ReactJS Form Event List","","Code","Engineering","frontend","learning","ReactJS","NULL"
"-27","http://rcs.seerinteractive.com/money/","Xiaoyun Yang","How Do Companies Make Money","I think this is made with isotope","Interactive","Fundraising","business","NULL","NULL","NULL"
"-28","http://bl.ocks.org/mbostock/1153292","Xiaoyun Yang","Mobile Patent Suits Visualization","Directed Graph datavis created by Mike Botstock","Interactive","Engineering","D3","idea","datavis","Design"
"-29","https://www.youtube.com/watch?v=kZJCrxQrslA","TED","Dusty Wunderlich on the student loan crisis and how to fix it","How the trillion dollar student loan crisis can be addressed - universities need to redesign their education product around future employers' needs","Video","Marketing","business","use case","NULL","NULL"
"-30","https://medium.com/@xiaoyunyang/why-im-looking-to-youtube-for-a-well-rounded-education-f9a46210a1d1#.ichz1rupk","Xiaoyun Yang","Why I'm looking to YouTube for a well-rounded education","My curated list of YouTube Channels for learning something new in all areas, including science and technology and the humanities.","Reading","Marketing","business","use case","NULL","NULL"
"-31","http://blog.crew.co/the-science-behind-fonts-and-how-they-make-you-feel/","Xiaoyun Yang","Intro to Typography and graphic/UX design","Different fonts and what fonts to use for articles, logos, etc.","Reading","UX","Design","learning","NULL","NULL"
"-32","https://medium.com/@meagle/understanding-87566abcfb7a#.22prih56b","Xiaoyun Yang","Understanding Redux Middleware","""By currying and composing your functions, you can create powerful new functions that create a pipeline for data processing""","Reading","Engineering","frontend","Redux","NULL","NULL"
"-33","https://addyosmani.com/resources/essentialjsdesignpatterns/book/","Xiaoyun Yang","Learn Javascript Design Patterns with Addy Osmani","ebook","Reading","Engineering","frontend","software","learning","NULL"
"-34","https://jvaneyck.wordpress.com/2014/01/07/cross-domain-requests-in-javascript/","Xiaoyun Yang","How to circumvent the Same-Origin-Policy to access resource from another domain","Three techniques exist - (1) JSONP (2) Server Proxy and (3) Cross Origin Resource Sharing (CORS)","Reading","Engineering","frontend","learning","bootstrapping","NULL"
"35","http://xiaoyunyang.github.io/matrix/matrix.html","LooseLeaf","Prototype for Interactive Matrix menu (Dummy data)","Navigate your data using a heatmap / table / matrix representation of your data. Two matrix orientations, including tags vs. media and tags vs. authors.","Interactive","Demo","frontend","in progress","NULL","NULL"
"36","http://xiaoyunyang.github.io/piechart/pie-collection.html","LooseLeaf","Prototype for Interactive piechart menu","Navigate your data using a heatmap / matrix chart representation of your data. Each segment has a size that scales with the size of the sub-collection.","Interactive","Demo","frontend","in progress","NULL","NULL"
"37","http://xiaoyunyang.github.io/#matrix","LooseLeaf","Prototype for Interactive Matrix menu (for bookmarks)","Prototype for Interactive Matrix menu for a dynamic collection of bookmarks curated around arbitrary tags. The menu chart allows for one and two dimensional filtering using tags and media-type.","Interactive","Demo","frontend","in progress","NULL","NULL"
"-38","https://github.com/xiaoyunyang/play-react-d3","LooseLeaf","Prototype for backend built in Play and Scala","","Code","Demo","backend","in progress","NULL","NULL"
"-39","https://medium.com/@scottdanielcooper/how-being-in-a-band-taught-me-everything-i-know-about-marketing-and-running-a-business-40e2eedbbd82#.k5jem49nn","Xiaoyun Yang","What you learn about starting a business from being in a band","","Reading","Marketing","business","learning","NULL","NULL"
"-40","https://medium.com/javascript-scene/the-two-pillars-of-javascript-pt-2-functional-programming-a63aa53a41a4#.cq71u5b2k","Xiaoyun Yang","Functional Programming in Javascript","""JavaScript makes it easy to assign functions to variables, pass them into other functions, return functions from other functions, compose functions, and so on. JavaScript also offers immutable values for primitive types, and features that make it easy to return new objects and arrays rather than manipulate properties of those that are passed in as arguments.""","Reading","Engineering","learning","frontend","NULL","NULL"
"-41","https://github.com/stoeffel/awesome-fp-js","Xiaoyun Yang","A curated list of javascript functional programming libraries and resources","","Reading","Engineering","resources","NULL","NULL","NULL"
"-42","http://jamesknelson.com/grokking-es6-promises-the-four-functions-you-need-to-avoid-callback-hell/","Xiaoyun Yang","Promises in ES6","Avoid callback hell","Reading","Engineering","learning","frontend","NULL","NULL"
"-43","http://webapplog.com/es6/","Xiaoyun Yang","Top 10 Features of ES6","Some code examples to compare ES6 with ES5 to quantify the improvements","Reading","Engineering","learning","frontend","NULL","NULL"
"-44","https://medium.freecodecamp.com/designing-in-color-abd358660a7b#.mia5bremf","Xiaoyun Yang","Choosing colors in your design","Picking a color for your logo and website etc","Reading","UX","Design","frontend","NULL","NULL"
"-45","https://www.evernote.com/l/AF8_VDZJWOlJTKLsbtouJh_D-i1MGCriQdw","Xiaoyun Yang","Newbie's Guide to Web Design Webapp Dev","live doc on hosted on evernote","Reading","Engineering","learning","in progress","frontend","backend"
"-46","https://www.quora.com/Peter-Norvig-In-what-ways-has-AI-evolved-that-you-didnt-expect-over-your-lifetime","Google","How AI evolved per Peter Novig","","Discussion","AI","motivation","NULL","NULL","NULL"
"-47","https://www.quora.com/What-do-you-think-of-Deep-Learning-2","Google","What does the research director at Google feel about Deep Learning","""We have recurrent networks to deal with time, and recursive networks to deal with nested structure, but it's too early to tell whether these are sufficient.""","Discussion","AI","deep learning","NULL","NULL","NULL"
"-48","https://www.quora.com/Is-there-any-place-for-software-engineers-that-do-not-learn-AI-or-Machine-Learning-in-the-next-10-years-or-does-everyone-have-to-learn-it","Google","How important is Machine Learning for software engineering?","You don't have to be an expert of machine learning, but the better you know about machine learning, the better you will be at architecturing a solution.","Discussion","AI","motivation","NULL","NULL","NULL"
"-49","https://www.quora.com/session/Peter-Norvig/1","Google","Peter Norvig's Quora Session Recap","","Website","AI","NULL","NULL","NULL","NULL"
"-50","http://staltz.com/unidirectional-user-interface-architectures.html","Xiaoyun Yang","Unidirectional User Interface Architecture","Quick overview of unidirectional data flow architecture and a comparison between Flux, Redux, Elm arch, Cycle, and BEST","Reading","Engineering","frontend","ReactJS","learning","NULL"
"-51","https://www.quora.com/What-makes-Bayesian-reasoning-appealing-to-you","Xiaoyun Yang","The Appeal of Bayesian Reasoning","Bayesian reasoning is an elegant and practically useful approach to model mapping from s->x. The appeal of the probability approach is that it naturally enables one to integrate prior knowledge about a problem into the solution.","Discussion","AI","bayesian","model","markov","NULL"
"-52","https://www.quora.com/session/David-Barber-34/1","Xiaoyun Yang","David Barber's Quora Session Recap","","Website","AI","NULL","NULL","NULL","NULL"
"-53","http://blog.crew.co/the-science-behind-fonts-and-how-they-make-you-feel/","Xiaoyun Yang","The Science Behind Fonts and How they make you feel","UX design","Reading","UX","frontend","Design","NULL","NULL"
"-54","https://www.quora.com/What-are-some-good-pre-seed-investment-firms-in-DC","Xiaoyun Yang","Early stage funding in DC","Takeaway - Three angels (NextGen Angels, Mark Walsh, and Sean Glass), one accelerator (Acceleprise) and one incubator (1776). 3Si Micro Venture & Holdings is a pre-seed investment firm.","Discussion","Fundraising","business","NULL","NULL","NULL"
"-55","https://www.quora.com/How-important-is-understanding-the-brain-for-deep-learning-and-vice-versa-3","Xiaoyun Yang","How important is understanding the brain for deep learning","Understanding how the brain processes information (heirarchical, binary, distributed, asynchronous) can greatly benefit understanding of deep learning","Discussion","AI","deep learning","NULL","NULL","NULL"
"-56","https://venngage.com/blog/google-io/?utm_source=newsletter&utm_medium=email&utm_term=infographic&utm_content=data%20visualization&utm_campaign=google","Xiaoyun Yang","Google I/O releases 2008 - 2016 infographics","","Image","Engineering","Design","frontend","backend","NULL"
"-57","https://angel.co/pre-seed/investors","Xiaoyun Yang","Pre-seed Angel Investors","AngelList","Interactive","Fundraising","business","NULL","NULL","NULL"
