key,url,username,title,description,favicon,tag1,tag2,tag3,tag4,tag5
-1,https://medium.com/@xiaoyunyang/10-best-things-i-did-before-i-turned-25-5511d23b726d#.4aax6w78m,Xiaoyun Yang,10 Best Things I did before I turned 25,"An article I wrote for Medium (published 2/24/16), in which I reflect on all the things I accomplished before the age of 25.",Reading,college,life,learning,advice,NULL
-2,http://www.shiftforward.eu/techtalks/2013/03/why-post-functional-programming-matters/,Xiaoyun Yang,Why (Post-) Functional Programming matters,"A good article on the benefits of using functional programming to build ad-tech platforms. Such benefits include scalability (e.g., monoids), referential transparency (which gives you resiliency, inherent parallelism, laziness, and momoization), and modularity (e.g., function composition and higher order functions).",Reading,FP,CS,software,NULL,NULL
-3,http://xiaoyunyang.github.io/presentation.html,LooseLeaf,Interactive Data Presentation,A presentation on how data visualization can be used for better story telling and decision making.,Reading,datavis,presentation,startup,in progress,NULL
-4,https://medium.com/@xiaoyunyang/why-president-trump-will-bring-positive-change-to-america-e52f51a88450#.d0dc2ag0p,Xiaoyun Yang,Why President Trump Will Bring Positive Change To America,A story about how the two-party system is more of a problem to America's democratic process than Donald Trump becoming the next problem,Reading,democracy,politics,election,NULL,NULL
-5,https://medium.com/@xiaoyunyang/how-playing-the-piano-taught-me-math-8917f84a4326#.xkrypacq0,Xiaoyun Yang,How Learning To Play The Piano Taught Me Math,"In this article, I introduce a pattern I discovered in adding and subtracting natural numbers and a finger counting technique, inspired by piano fingering and my experiences learning how to play the piano.",Reading,writing,math,music,NULL,NULL
-6,http://looseleaf.us,LooseLeaf,LooseLeaf.us,A social media platform for online education,Website,marketplace,edtech,startup,NULL,NULL
-7,http://number-shapes.com,Xiaoyun Yang and Andrew Fenner,NumberShapes,Mobile Apps for learning arithmetics I and Andrew created.,Website,edtech,math,startup,NULL,NULL
-8,https://medium.com/@xiaoyunyang/thanks-this-lean-startup-canvas-is-a-really-helpful-exercise-for-me-as-i-m-working-on-launching-my-f23e13f146f1#.brqe7a45j,LooseLeaf,Startup Canvas for LooseLeaf,"What LooseLeaf is about in an image - includes descriptions on the product, unique marketable elements, key message, target audience, and audience Influencer. Inspired by Jon Westenberg's article.",Image,startup,business,NULL,NULL,NULL
-9,https://www.youtube.com/watch?v=UyyjU8fzEYU&list=PL70DEC2B0568B5469&index=2,TED,Jill Bolte Taylor's stroke of insight,How the brain works and various insights about artificial intelligence from the experience of a neuroscientist who suffered from a stroke,Video,AI,NULL,NULL,NULL,NULL
-10,http://www.gapminder.org/data/,Has Rosling,Public Data from Gapminder,"Data in health, economy, work, population, disease etc ready for visualization",Website,datavis,statistics,NULL,NULL,NULL
